UID,Machine Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp
L53340,x_1,301.0,310.9,1570.0,34.0,192,0,No Failure,2002-08-14 16:00:00
L53341,x_1,285.0,310.9,1479.0,44.3,194,0,No Failure,2002-08-14 17:00:00
L53342,x_1,301.0,310.8,1558.0,34.9,196,0,No Failure,2002-08-14 18:00:00
L53343,x_1,300.8,310.7,1358.0,48.1,198,0,No Failure,2002-08-14 19:00:00
H35578,X1,300.9,310.7,1656.0,30.7,200,0,No Failure,2002-08-14 20:00:00
L53345,x_1,300.9,310.7,1523.0,35.8,205,0,No Failure,2002-08-14 21:00:00
H35580,X1,300.9,310.7,1403.0,40.6,207,0,No Failure,2002-08-14 22:00:00
M21027,x1,300.9,310.7,1362.0,51.6,212,0,No Failure,2002-08-14 23:00:00
M21028,x1,300.7,310.6,1778.0,27.1,215,0,No Failure,2002-08-15 00:00:00
L53349,x_1,300.7,310.5,1448.0,38.2,218,0,No Failure,2002-08-15 01:00:00
H35584,X1,300.8,310.5,1559.0,40.1,220,0,No Failure,2002-08-15 02:00:00
L53351,x_1,300.8,310.6,1416.0,42.2,225,0,No Failure,2002-08-15 03:00:00
L53352,x_1,300.8,310.6,1577.0,37.9,227,1,Tool Wear Failure,2002-08-15 04:00:00
L53353,x_1,300.8,310.7,1633.0,27.8,0,0,No Failure,2002-08-15 05:00:00
L53354,x_1,300.9,310.7,1573.0,31.2,2,0,No Failure,2002-08-15 06:00:00
L53355,x_1,300.9,310.8,1517.0,44.3,4,0,No Failure,2002-08-15 07:00:00
L53356,x_1,301.0,310.9,1515.0,37.3,6,0,No Failure,2002-08-15 08:00:00
L53357,x_1,301.0,310.8,1527.0,45.3,8,0,No Failure,2002-08-15 09:00:00
L53358,x_1,301.1,310.9,1282.0,67.9,10,1,Power Failure,2002-08-15 10:00:00
M21039,x1,301.1,310.9,1396.0,45.1,12,0,No Failure,2002-08-15 11:00:00
L53360,x_1,301.0,310.9,1492.0,44.6,15,0,No Failure,2002-08-15 12:00:00
L53361,x_1,301.0,310.8,1975.0,19.7,17,0,No Failure,2002-08-15 13:00:00
L53362,x_1,285.0,310.8,1475.0,35.3,19,0,No Failure,2002-08-15 14:00:00
H35597,X1,301.0,310.9,1495.0,37.3,21,0,No Failure,2002-08-15 15:00:00
L53364,x_1,301.0,311.0,1553.0,35.8,26,0,No Failure,2002-08-15 16:00:00
L53365,x_1,301.1,311.0,1918.0,21.7,28,0,No Failure,2002-08-15 17:00:00
M21046,x1,301.1,311.0,1413.0,46.6,30,0,No Failure,2002-08-15 18:00:00
L53367,x_1,301.0,311.0,1437.0,56.0,33,0,No Failure,2002-08-15 19:00:00
L53368,x_1,301.0,310.9,1450.0,45.9,35,0,No Failure,2002-08-15 20:00:00
M21049,x1,301.0,310.9,1910.0,21.9,37,0,No Failure,2002-08-15 21:00:00
L53370,x_1,300.9,310.9,1749.0,26.4,40,0,No Failure,2002-08-15 22:00:00
H35605,X1,301.0,310.9,1916.0,22.0,42,0,No Failure,2002-08-15 23:00:00
L53372,x_1,301.0,310.9,1428.0,45.3,47,0,No Failure,2002-08-16 00:00:00
L53373,x_1,301.0,310.9,1578.0,38.4,49,0,No Failure,2002-08-16 01:00:00
L53374,x_1,300.9,310.8,1571.0,39.9,51,0,No Failure,2002-08-16 02:00:00
L53375,x_1,300.9,310.8,1729.0,30.2,53,0,No Failure,2002-08-16 03:00:00
L53376,x_1,300.9,310.8,1701.0,30.4,55,0,No Failure,2002-08-16 04:00:00
L53377,x_1,300.9,310.8,1493.0,45.8,57,0,No Failure,2002-08-16 05:00:00
M21058,x1,301.0,310.9,1554.0,32.7,59,0,No Failure,2002-08-16 06:00:00
L53379,x_1,284.9,310.9,1497.0,43.2,62,0,No Failure,2002-08-16 07:00:00
L53380,x_1,301.0,310.9,1679.0,29.8,64,0,No Failure,2002-08-16 08:00:00
M21061,x1,301.0,310.9,1510.0,44.5,66,0,No Failure,2002-08-16 09:00:00
L53382,x_1,301.0,310.9,1296.0,54.9,69,0,No Failure,2002-08-16 10:00:00
L53383,x_1,301.0,310.9,1404.0,41.8,71,0,No Failure,2002-08-16 11:00:00
M21064,x1,300.9,310.8,1519.0,34.9,73,0,No Failure,2002-08-16 12:00:00
M21065,x1,300.9,310.7,1696.0,27.3,76,0,No Failure,2002-08-16 13:00:00
M21066,x1,300.8,310.6,1669.0,28.4,79,0,No Failure,2002-08-16 14:00:00
L53387,x_1,300.7,310.6,1447.0,40.7,82,0,No Failure,2002-08-16 15:00:00
M21068,x1,300.7,310.6,1418.0,46.3,84,0,No Failure,2002-08-16 16:00:00
L53389,x_1,300.7,310.6,1407.0,40.5,87,0,No Failure,2002-08-16 17:00:00
L53390,x_1,284.8,310.5,1434.0,44.5,89,0,No Failure,2002-08-16 18:00:00
L53391,x_1,300.8,310.6,1360.0,48.8,91,0,No Failure,2002-08-16 19:00:00
L53392,x_1,300.8,310.6,1402.0,133.5,93,0,No Failure,2002-08-16 20:00:00
L53393,x_1,300.9,310.6,1552.0,34.9,95,0,No Failure,2002-08-16 21:00:00
L53394,x_1,300.9,310.7,1392.0,44.2,97,0,No Failure,2002-08-16 22:00:00
L53395,x_1,301.1,310.8,1521.0,41.0,99,0,No Failure,2002-08-16 23:00:00
L53396,x_1,301.1,310.8,1724.0,27.5,101,0,No Failure,2002-08-17 00:00:00
M21077,x1,301.0,310.7,1455.0,46.1,103,0,No Failure,2002-08-17 01:00:00
H35632,X1,301.0,310.6,1366.0,50.6,106,0,No Failure,2002-08-17 02:00:00
H35633,X1,301.1,310.6,1407.0,43.9,111,0,No Failure,2002-08-17 03:00:00
L53400,x_1,285.1,310.8,1470.0,49.3,116,0,No Failure,2002-08-17 04:00:00
M21081,x1,301.2,310.9,1359.0,50.8,118,0,No Failure,2002-08-17 05:00:00
H35636,X1,301.1,310.8,1792.0,25.8,121,0,No Failure,2002-08-17 06:00:00
M21083,x1,301.1,310.9,1552.0,37.9,126,0,No Failure,2002-08-17 07:00:00
L53404,x_1,301.2,311.0,1612.0,32.9,129,0,No Failure,2002-08-17 08:00:00
M21085,x1,301.2,311.0,1424.0,41.4,131,0,No Failure,2002-08-17 09:00:00
H35640,X1,301.3,311.0,1341.0,59.3,134,0,No Failure,2002-08-17 10:00:00
L53407,x_1,301.2,310.8,1479.0,38.2,139,0,No Failure,2002-08-17 11:00:00
L53408,x_1,301.2,310.9,1413.0,50.1,141,0,No Failure,2002-08-17 12:00:00
L53409,x_1,301.3,310.9,2165.0,17.4,143,0,No Failure,2002-08-17 13:00:00
M21090,x1,301.3,311.0,1641.0,33.0,145,0,No Failure,2002-08-17 14:00:00
M21091,x1,301.3,311.0,1495.0,40.8,148,0,No Failure,2002-08-17 15:00:00
L53412,x_1,301.3,311.0,1576.0,30.4,151,0,No Failure,2002-08-17 16:00:00
L53413,x_1,301.2,310.9,1467.0,37.1,153,0,No Failure,2002-08-17 17:00:00
L53414,x_1,301.2,310.8,1479.0,41.2,155,0,No Failure,2002-08-17 18:00:00
L53415,x_1,301.3,310.9,1596.0,33.9,157,0,No Failure,2002-08-17 19:00:00
M21096,x1,301.3,310.9,1512.0,36.9,159,0,No Failure,2002-08-17 20:00:00
L53417,x_1,301.4,310.9,1414.0,38.8,162,0,No Failure,2002-08-17 21:00:00
L53418,x_1,301.3,310.8,1390.0,57.4,164,0,No Failure,2002-08-17 22:00:00
L53419,x_1,301.2,310.7,1644.0,31.6,166,0,No Failure,2002-08-17 23:00:00
M21100,x1,285.2,310.7,1394.0,42.8,168,0,No Failure,2002-08-18 00:00:00
L53421,x_1,301.1,310.5,1324.0,52.4,171,0,No Failure,2002-08-18 01:00:00
L53422,x_1,301.0,310.4,1476.0,43.6,173,0,No Failure,2002-08-18 02:00:00
L53423,x_1,301.0,310.4,2204.0,16.6,175,0,No Failure,2002-08-18 03:00:00
M21104,x1,301.0,310.4,1665.0,30.9,177,0,No Failure,2002-08-18 04:00:00
L53425,X2,300.9,310.4,1445.0,41.7,180,0,No Failure,2012-08-18 05:00:00
H35660,X1,300.8,310.3,1457.0,46.8,182,0,No Failure,2002-08-18 06:00:00
L53427,x_1,300.8,310.2,1492.0,46.3,187,0,No Failure,2002-08-18 07:00:00
L53428,x_1,300.8,310.1,1405.0,61.2,189,1,Power Failure,2002-08-18 08:00:00
L53429,x_1,300.7,310.1,1542.0,35.5,191,0,No Failure,2002-08-18 09:00:00
L53430,X2,300.8,310.2,1520.0,37.7,193,0,No Failure,2012-08-18 10:00:00
M21111,x1,300.8,310.2,1598.0,36.5,195,0,No Failure,2002-08-18 11:00:00
L53432,x_1,300.8,310.3,1538.0,115.9,198,0,No Failure,2002-08-18 12:00:00
L53433,x_1,300.9,310.4,1615.0,30.9,200,0,No Failure,2002-08-18 13:00:00
L53434,x_1,285.0,310.5,1408.0,47.0,202,0,No Failure,2002-08-18 14:00:00
L53435,x_1,301.0,310.5,1379.0,57.3,204,1,Overstrain Failure,2002-08-18 15:00:00
L53436,x_1,301.0,310.6,1493.0,37.8,206,1,Tool Wear Failure,2002-08-18 16:00:00
L53437,x_1,301.1,310.7,1376.0,49.1,0,0,No Failure,2002-08-18 17:00:00
M21118,x1,301.1,310.7,1583.0,40.7,2,0,No Failure,2002-08-18 18:00:00
M21119,x1,301.2,310.8,1396.0,47.4,5,0,No Failure,2002-08-18 19:00:00
L53440,x_1,301.1,310.7,1436.0,45.3,8,0,No Failure,2002-08-18 20:00:00
L53441,x_1,301.1,310.6,1417.0,47.6,10,0,No Failure,2002-08-18 21:00:00
L53442,x_1,301.0,310.6,1641.0,33.4,12,0,No Failure,2002-08-18 22:00:00
M21123,x1,301.0,310.6,1698.0,27.3,14,0,No Failure,2002-08-18 23:00:00
L53444,x_1,300.9,310.4,1541.0,39.1,17,0,No Failure,2002-08-19 00:00:00
L53445,x_1,300.8,310.3,1383.0,46.6,19,0,No Failure,2002-08-19 01:00:00
L53446,x_1,300.8,310.4,1368.0,46.8,21,0,No Failure,2002-08-19 02:00:00
L53447,x_1,300.8,310.4,1570.0,35.2,23,0,No Failure,2002-08-19 03:00:00
L53448,x_1,300.9,310.5,1616.0,33.5,25,0,No Failure,2002-08-19 04:00:00
M21129,x1,300.9,310.5,1444.0,43.2,27,0,No Failure,2002-08-19 05:00:00
L53450,x_1,300.9,310.4,2021.0,18.8,30,0,No Failure,2002-08-19 06:00:00
M21131,x1,300.9,310.5,1702.0,29.3,32,0,No Failure,2002-08-19 07:00:00
M21132,x1,301.1,310.6,1429.0,132.5,35,0,No Failure,2002-08-19 08:00:00
L53453,x_1,301.2,310.8,1711.0,28.9,38,0,No Failure,2002-08-19 09:00:00
M21134,x1,301.2,310.7,1543.0,32.9,40,0,No Failure,2002-08-19 10:00:00
L53455,x_1,301.3,310.8,1628.0,32.2,43,0,No Failure,2002-08-19 11:00:00
L53456,x_1,301.2,310.8,1233.0,64.6,45,0,No Failure,2002-08-19 12:00:00
L53457,x_1,301.2,310.8,1461.0,40.6,47,0,No Failure,2002-08-19 13:00:00
L53458,x_1,301.2,310.7,1568.0,38.3,49,0,No Failure,2002-08-19 14:00:00
L53459,x_1,285.3,310.8,1432.0,54.4,51,0,No Failure,2002-08-19 15:00:00
M21140,x1,301.2,310.7,1527.0,41.1,53,0,No Failure,2002-08-19 16:00:00
M21141,x1,301.3,310.8,1455.0,41.2,56,0,No Failure,2002-08-19 17:00:00
M21142,x1,301.3,310.8,1418.0,45.4,59,0,No Failure,2002-08-19 18:00:00
L53463,x_1,301.3,310.8,1719.0,29.5,62,0,No Failure,2002-08-19 19:00:00
M21144,x1,301.2,310.8,1734.0,31.3,64,0,No Failure,2002-08-19 20:00:00
M21145,x1,301.2,310.7,,46.1,67,0,No Failure,2002-08-19 21:00:00
L53466,x_1,301.1,310.6,1611.0,35.2,70,0,No Failure,2002-08-19 22:00:00
M21147,x1,301.1,310.6,1479.0,41.1,72,0,No Failure,2002-08-19 23:00:00
L53468,x_1,301.0,310.5,1317.0,50.9,75,0,No Failure,2002-08-20 00:00:00
L53469,x_1,301.0,310.5,1248.0,61.4,77,0,No Failure,2002-08-20 01:00:00
L53470,x_1,301.0,310.5,1932.0,21.7,79,0,No Failure,2002-08-20 02:00:00
M21151,x1,301.1,310.5,1547.0,35.8,81,0,No Failure,2002-08-20 03:00:00
L53472,x_1,301.0,310.4,1614.0,31.6,84,0,No Failure,2002-08-20 04:00:00
H35707,X1,301.0,310.4,1512.0,44.9,86,0,No Failure,2002-08-20 05:00:00
L53474,x_1,301.1,310.5,1529.0,38.7,91,0,No Failure,2002-08-20 06:00:00
H35709,X1,301.1,310.6,1782.0,24.9,93,0,No Failure,2002-08-20 07:00:00
L53476,x_1,301.0,310.5,1429.0,39.4,98,0,No Failure,2002-08-20 08:00:00
M21157,x1,301.1,310.5,1309.0,60.7,100,0,No Failure,2002-08-20 09:00:00
L53478,x_1,301.1,310.5,1428.0,44.1,103,0,No Failure,2002-08-20 10:00:00
L53479,x_1,301.2,310.6,1385.0,49.2,105,0,No Failure,2002-08-20 11:00:00
L53480,x_1,301.2,310.7,1517.0,39.4,107,0,No Failure,2002-08-20 12:00:00
M21161,x1,301.2,310.6,1576.0,39.6,109,0,No Failure,2002-08-20 13:00:00
L53482,x_1,301.2,310.6,1437.0,51.2,112,0,No Failure,2002-08-20 14:00:00
H35717,X1,301.2,310.6,1457.0,50.5,114,0,No Failure,2002-08-20 15:00:00
L53484,x_1,301.1,310.5,1532.0,37.5,119,0,No Failure,2002-08-20 16:00:00
M21165,x1,301.1,310.5,1603.0,32.6,121,0,No Failure,2002-08-20 17:00:00
L53486,x_1,301.0,310.4,1563.0,34.4,124,0,No Failure,2002-08-20 18:00:00
L53487,x_1,301.0,310.3,1617.0,34.5,126,0,No Failure,2002-08-20 19:00:00
M21168,x1,300.8,310.1,1686.0,26.9,128,0,No Failure,2002-08-20 20:00:00
L53489,x_1,300.9,310.2,1382.0,50.4,131,0,No Failure,2002-08-20 21:00:00
L53490,x_1,300.9,310.1,2090.0,97.6,133,0,No Failure,2002-08-20 22:00:00
L53491,x_1,300.9,310.3,1446.0,44.5,135,0,No Failure,2002-08-20 23:00:00
M21172,x1,300.9,310.2,1533.0,38.1,137,0,No Failure,2002-08-21 00:00:00
L53493,x_1,300.9,310.3,1440.0,47.6,140,0,No Failure,2002-08-21 01:00:00
M21174,x1,301.0,310.4,1793.0,25.0,142,0,No Failure,2002-08-21 02:00:00
M21175,x1,301.0,310.4,1517.0,46.1,145,0,No Failure,2002-08-21 03:00:00
L53496,x_1,300.9,310.4,1544.0,36.0,148,0,No Failure,2002-08-21 04:00:00
L53497,x_1,300.9,310.3,1321.0,48.8,150,0,No Failure,2002-08-21 05:00:00
M21178,x1,300.9,310.3,1416.0,50.9,152,0,No Failure,2002-08-21 06:00:00
L53499,x_1,300.8,310.2,1514.0,40.0,155,0,No Failure,2002-08-21 07:00:00
M21180,x1,300.8,310.2,1304.0,52.5,157,0,No Failure,2002-08-21 08:00:00
L53501,x_1,300.7,310.2,1286.0,144.7,160,0,No Failure,2002-08-21 09:00:00
M21182,x1,300.7,310.1,1483.0,40.2,162,0,No Failure,2002-08-21 10:00:00
L53503,x_1,300.7,310.1,1351.0,46.9,165,0,No Failure,2002-08-21 11:00:00
M21184,x1,300.7,310.1,1367.0,52.6,167,0,No Failure,2002-08-21 12:00:00
L53505,x_1,300.7,310.1,1721.0,32.3,170,0,No Failure,2002-08-21 13:00:00
L53506,x_1,300.6,310.0,1455.0,40.4,172,0,No Failure,2002-08-21 14:00:00
L53507,x_1,300.6,310.0,1425.0,49.5,174,0,No Failure,2002-08-21 15:00:00
L53508,x_1,300.7,310.0,1672.0,29.7,176,0,No Failure,2002-08-21 16:00:00
M21189,x1,300.7,310.0,1641.0,34.6,178,0,No Failure,2002-08-21 17:00:00
M21190,x1,300.5,310.0,1580.0,37.0,181,0,No Failure,2002-08-21 18:00:00
H35745,X1,300.5,310.0,1495.0,127.2,184,0,No Failure,2002-08-21 19:00:00
M21192,x1,300.5,309.9,1994.0,19.8,189,0,No Failure,2002-08-21 20:00:00
M21193,x1,300.4,309.9,1415.0,31.8,192,0,No Failure,2002-08-21 21:00:00
M21194,x1,300.4,309.8,1725.0,30.4,195,0,No Failure,2002-08-21 22:00:00
M21195,x1,300.4,309.8,1430.0,43.4,198,0,No Failure,2002-08-21 23:00:00
L53516,x_1,300.4,309.8,1395.0,48.1,201,0,No Failure,2002-08-22 00:00:00
M21197,x1,300.4,309.8,1435.0,43.6,203,0,No Failure,2002-08-22 01:00:00
L53518,x_1,300.4,309.9,1681.0,28.6,206,0,No Failure,2002-08-22 02:00:00
L53519,x_1,300.5,310.0,1451.0,48.6,208,0,No Failure,2002-08-22 03:00:00
H35754,X1,300.5,309.9,1397.0,45.9,210,1,Tool Wear Failure,2002-08-22 04:00:00
M21201,x1,300.4,309.8,1421.0,47.2,0,0,No Failure,2002-08-22 05:00:00
M21202,x1,300.3,309.8,1444.0,42.0,3,0,No Failure,2002-08-22 06:00:00
L53523,x_1,300.2,309.8,1827.0,102.8,6,0,No Failure,2002-08-22 07:00:00
H35758,X1,300.2,309.8,1374.0,47.7,8,0,No Failure,2002-08-22 08:00:00
L53525,x_1,300.2,309.8,1650.0,29.6,13,0,No Failure,2002-08-22 09:00:00
L53526,x_1,300.2,309.7,1275.0,60.7,15,0,No Failure,2002-08-22 10:00:00
L53527,x_1,300.2,309.7,1421.0,44.6,17,0,No Failure,2002-08-22 11:00:00
L53528,x_1,300.2,309.8,1557.0,33.8,19,0,No Failure,2002-08-22 12:00:00
L53529,x_1,300.1,309.8,1506.0,115.0,21,0,No Failure,2002-08-22 13:00:00
L53530,x_1,300.1,309.7,1362.0,49.1,23,0,No Failure,2002-08-22 14:00:00
L53531,x_1,300.0,309.7,1542.0,47.1,25,0,No Failure,2002-08-22 15:00:00
L53532,x_1,300.0,309.6,1496.0,38.8,27,0,No Failure,2002-08-22 16:00:00
M21213,x1,300.0,309.6,1491.0,42.0,29,0,No Failure,2002-08-22 17:00:00
L53534,x_1,300.1,309.6,1565.0,34.8,32,0,No Failure,2002-08-22 18:00:00
L53535,x_1,300.1,309.7,1481.0,37.9,34,0,No Failure,2002-08-22 19:00:00
M21216,x1,300.1,309.7,1420.0,48.4,36,0,No Failure,2002-08-22 20:00:00
L53537,x_1,300.2,309.8,1398.0,54.8,39,0,No Failure,2002-08-22 21:00:00
M21218,x1,300.2,309.8,1466.0,45.7,41,0,No Failure,2002-08-22 22:00:00
L53539,x_1,300.1,309.8,1430.0,56.7,44,0,No Failure,2002-08-22 23:00:00
L53540,x_1,300.1,309.7,1441.0,40.1,46,0,No Failure,2002-08-23 00:00:00
M21221,x1,300.1,309.7,1348.0,57.3,48,0,No Failure,2002-08-23 01:00:00
L53542,x_1,300.0,309.6,1738.0,28.7,51,0,No Failure,2002-08-23 02:00:00
M21223,x1,300.0,309.6,1618.0,36.2,53,0,No Failure,2002-08-23 03:00:00
M21224,x1,299.9,309.6,,41.7,56,0,No Failure,2002-08-23 04:00:00
M21225,x1,299.9,309.5,1412.0,57.9,59,0,No Failure,2002-08-23 05:00:00
M21226,x1,299.9,309.5,2065.0,18.1,62,0,No Failure,2002-08-23 06:00:00
L53547,x_1,300.0,309.6,1571.0,112.9,65,0,No Failure,2002-08-23 07:00:00
M21228,x1,300.0,309.6,1423.0,48.7,67,0,No Failure,2002-08-23 08:00:00
H35783,X1,300.0,309.5,1781.0,24.9,70,0,No Failure,2002-08-23 09:00:00
L53550,x_1,300.1,309.6,1321.0,46.9,75,0,No Failure,2002-08-23 10:00:00
L53551,x_1,300.1,309.6,1546.0,36.7,77,0,No Failure,2002-08-23 11:00:00
M21232,x1,300.0,309.5,1879.0,22.4,79,0,No Failure,2002-08-23 12:00:00
H35787,X1,300.0,309.5,1735.0,28.9,82,0,No Failure,2002-08-23 13:00:00
L53554,x_1,300.0,309.5,1506.0,38.8,87,0,No Failure,2002-08-23 14:00:00
H35789,X1,300.0,309.6,1629.0,32.3,89,0,No Failure,2002-08-23 15:00:00
L53556,x_1,300.0,309.6,1694.0,28.7,94,0,No Failure,2002-08-23 16:00:00
L53557,x_1,300.1,309.6,1541.0,37.0,96,0,No Failure,2002-08-23 17:00:00
L53558,x_1,300.0,309.6,1514.0,44.6,98,0,No Failure,2002-08-23 18:00:00
L53559,x_1,300.1,309.7,1485.0,45.9,100,0,No Failure,2002-08-23 19:00:00
L53560,x_1,300.2,309.8,1430.0,55.0,102,0,No Failure,2002-08-23 20:00:00
L53561,x_1,300.2,309.7,1771.0,27.1,104,0,No Failure,2002-08-23 21:00:00
L53562,x_1,300.2,309.8,1481.0,41.9,106,0,No Failure,2002-08-23 22:00:00
H35797,X1,284.2,309.7,1483.0,43.8,108,0,No Failure,2002-08-23 23:00:00
H35798,X1,300.1,309.6,1463.0,45.1,113,0,No Failure,2002-08-24 00:00:00
L53565,x_1,300.1,309.7,1410.0,48.3,118,0,No Failure,2002-08-24 01:00:00
L53566,x_1,300.2,309.7,1656.0,34.3,120,0,No Failure,2002-08-24 02:00:00
M21247,x1,300.2,309.8,1487.0,39.2,122,0,No Failure,2002-08-24 03:00:00
H35802,X1,300.3,309.9,1509.0,46.6,125,0,No Failure,2002-08-24 04:00:00
H35803,X1,300.3,309.9,1677.0,30.1,130,0,No Failure,2002-08-24 05:00:00
L53570,x_1,300.3,309.8,1450.0,55.0,135,0,No Failure,2002-08-24 06:00:00
M21251,x1,300.2,309.7,1413.0,43.0,137,0,No Failure,2002-08-24 07:00:00
L53572,x_1,300.1,309.7,1680.0,33.8,140,0,No Failure,2002-08-24 08:00:00
L53573,x_1,284.2,309.7,1678.0,30.5,142,0,No Failure,2002-08-24 09:00:00
M21254,x1,300.2,309.7,1408.0,44.0,144,0,No Failure,2002-08-24 10:00:00
M21255,x1,300.1,309.6,1376.0,131.9,147,0,No Failure,2002-08-24 11:00:00
L53576,x_1,300.0,309.6,1526.0,46.4,150,0,No Failure,2002-08-24 12:00:00
M21257,x1,300.0,309.6,1587.0,32.6,152,0,No Failure,2002-08-24 13:00:00
L53578,x_1,300.1,309.7,1351.0,138.0,155,0,No Failure,2002-08-24 14:00:00
M21259,x1,300.1,309.6,1501.0,38.0,157,0,No Failure,2002-08-24 15:00:00
L53580,x_1,300.1,309.7,1601.0,35.8,160,0,No Failure,2002-08-24 16:00:00
M21261,x1,300.0,309.6,1573.0,39.7,162,0,No Failure,2002-08-24 17:00:00
M21262,x1,300.1,309.6,1584.0,116.5,165,0,No Failure,2002-08-24 18:00:00
L53583,x_1,300.1,309.6,1649.0,33.6,168,0,No Failure,2002-08-24 19:00:00
M21264,x1,300.2,309.7,1183.0,61.4,170,0,No Failure,2002-08-24 20:00:00
L53585,x_1,300.1,309.7,2151.0,17.5,173,0,No Failure,2002-08-24 21:00:00
L53586,x_1,300.2,309.8,1526.0,45.6,175,0,No Failure,2002-08-24 22:00:00
M21267,x1,300.3,309.9,1611.0,29.0,177,0,No Failure,2002-08-24 23:00:00
L53588,x_1,300.3,309.9,1601.0,31.7,180,0,No Failure,2002-08-25 00:00:00
L53589,x_1,300.3,310.0,1560.0,40.8,182,0,No Failure,2002-08-25 01:00:00
L53590,x_1,300.4,310.1,1544.0,41.9,184,0,No Failure,2002-08-25 02:00:00
M21271,x1,300.4,310.0,1560.0,42.3,186,0,No Failure,2002-08-25 03:00:00
L53592,x_1,300.4,310.0,1423.0,44.2,189,0,No Failure,2002-08-25 04:00:00
L53593,x_1,300.4,310.1,1614.0,33.5,191,0,No Failure,2002-08-25 05:00:00
M21274,x1,300.4,310.1,1457.0,35.1,193,0,No Failure,2002-08-25 06:00:00
L53595,x_1,300.4,310.1,1503.0,42.2,196,0,No Failure,2002-08-25 07:00:00
H35830,X1,300.4,310.1,1484.0,38.0,198,0,No Failure,2002-08-25 08:00:00
L53597,x_1,300.3,309.9,1540.0,39.9,203,0,No Failure,2002-08-25 09:00:00
H35832,X1,300.3,309.9,1405.0,52.1,205,0,No Failure,2002-08-25 10:00:00
H35833,X1,300.3,309.9,1394.0,46.7,210,1,Tool Wear Failure,2002-08-25 11:00:00
L53600,x_1,300.3,309.9,1518.0,36.4,0,0,No Failure,2002-08-25 12:00:00
L53601,x_1,300.3,309.9,1527.0,41.4,2,0,No Failure,2002-08-25 13:00:00
L53602,x_1,300.3,309.9,1377.0,55.3,4,0,No Failure,2002-08-25 14:00:00
M21283,x1,300.3,310.0,1537.0,37.5,6,0,No Failure,2002-08-25 15:00:00
M21284,x1,300.3,310.0,1409.0,123.0,9,0,No Failure,2002-08-25 16:00:00
L53605,x_1,300.3,309.9,1393.0,56.1,12,0,No Failure,2002-08-25 17:00:00
L53606,x_1,300.2,309.7,1448.0,36.8,14,0,No Failure,2002-08-25 18:00:00
L53607,x_1,300.2,309.8,1418.0,49.3,16,0,No Failure,2002-08-25 19:00:00
M21288,x1,300.2,309.8,1743.0,24.1,18,0,Error,2002-08-25 20:00:00
M21289,x1,300.2,309.8,1394.0,47.4,21,0,No Failure,2002-08-25 21:00:00
L53610,x_1,300.3,309.8,1523.0,39.2,24,0,No Failure,2002-08-25 22:00:00
L53611,x_1,300.2,309.8,1353.0,59.4,26,0,No Failure,2002-08-25 23:00:00
M21292,x1,300.3,309.9,1447.0,46.5,28,0,No Failure,2002-08-26 00:00:00
L53613,x_1,300.3,309.9,1570.0,34.0,31,0,No Failure,2002-08-26 01:00:00
M21294,x1,300.3,309.9,1494.0,38.5,33,0,No Failure,2002-08-26 02:00:00
L53615,x_1,300.3,309.9,1621.0,34.1,36,0,No Failure,2002-08-26 03:00:00
L53616,x_1,300.4,310.0,1769.0,26.1,38,0,No Failure,2002-08-26 04:00:00
L53617,x_1,300.4,310.0,1282.0,66.1,40,0,No Failure,2002-08-26 05:00:00
L53618,x_1,300.4,310.0,1581.0,30.3,42,0,No Failure,2002-08-26 06:00:00
L53619,x_1,300.6,310.1,1656.0,32.7,44,0,No Failure,2002-08-26 07:00:00
L53620,x_1,300.6,310.2,1648.0,31.7,46,0,No Failure,2002-08-26 08:00:00
L53621,x_1,300.7,310.2,1639.0,31.4,48,0,No Failure,2002-08-26 09:00:00
L53622,x_1,300.7,310.2,1348.0,54.8,50,0,No Failure,2002-08-26 10:00:00
L53623,x_1,300.8,310.3,1537.0,33.3,52,0,No Failure,2002-08-26 11:00:00
M21304,x1,300.8,310.3,1270.0,61.0,54,0,No Failure,2002-08-26 12:00:00
L53625,x_1,300.7,310.3,1662.0,34.4,57,0,No Failure,2002-08-26 13:00:00
M21306,x1,300.7,310.3,1471.0,40.2,59,0,No Failure,2002-08-26 14:00:00
L53627,x_1,300.6,310.1,1337.0,45.8,62,0,No Failure,2002-08-26 15:00:00
H35862,X1,300.7,310.2,1877.0,24.8,64,0,No Failure,2002-08-26 16:00:00
L53629,x_1,300.6,310.2,1519.0,44.6,69,0,No Failure,2002-08-26 17:00:00
L53630,x_1,300.6,310.2,1378.0,47.3,71,0,No Failure,2002-08-26 18:00:00
L53631,x_1,300.7,310.2,1696.0,27.5,73,0,No Failure,2002-08-26 19:00:00
L53632,x_1,300.7,310.1,1376.0,50.8,75,0,No Failure,2002-08-26 20:00:00
L53633,x_1,300.7,310.2,1807.0,24.2,77,0,No Failure,2002-08-26 21:00:00
L53634,x_1,300.7,310.1,1598.0,32.8,79,0,No Failure,2002-08-26 22:00:00
L53635,x_1,300.7,310.1,1565.0,40.2,81,0,No Failure,2002-08-26 23:00:00
L53636,x_1,300.7,310.2,1387.0,50.6,83,0,No Failure,2002-08-27 00:00:00
L53637,x_1,300.7,310.0,1395.0,48.0,85,0,No Failure,2002-08-27 01:00:00
